Var,Gamma_1,SE_1,Gamma_2,SE_2
"DIST",-10.7429685237267,0.499492794434402,-4.88732404129424,0.367787361260591
"BORD",-0.472676255364434,0.164619833951326,-0.837100593675183,0.136144345179456
"LANG",-0.120121151863274,0.0675999917645605,0.337022108885462,0.0636604444687081
"CONT",0.764905247690512,0.0499228926363181,-0.0194919123483054,0.0526237468697875
"DURAB",-0.715600423072004,0.0897805682428323,1.9612012754033,0.12829537251251
"POLCOMP",-0.478137398041873,0.102893135178831,0.339746724522493,0.0933784931872151
"AUTOC",0.474724739938939,0.110936892791291,-0.432756145152774,0.100698277442821
"CURCOL",0.513374354798845,0.275239470829433,-0.565050022877684,0.229550361328417
"COLONY",0.142413353419047,0.211520519836003,1.03987986741258,0.183319935119805
"COMCOL",0.55066558889407,0.0797366148053388,0.251351739905142,0.0809093035714729
"SMCTRY",1.2343872450884,0.32964482851391,-0.0757346732579202,0.181420605916772
"xi",0.0626251141810073,0.0280706273473973,0.0626251141810073,0.0280706273473973
